Account;Symbol;Contract;Entry Date;Entry Price;Exit Date;Exit Price;Side;Quantity;Gross P/L;Net P/L
202604033096;ES;/ESM26:XCME;2026-04-06 14:38:27;6637.75;2026-04-06 14:38:53;6632;SELL;-1;287.5;282.5
202604033096;MNQ;/MNQM26:XCME;2026-04-07 16:35:22;24209.5;2026-04-07 16:39:30;24179.25;BUY;1;-60.5;-62.1
202604033096;MNQ;/MNQM26:XCME;2026-04-07 17:00:31;24234.25;2026-04-07 17:13:53;24204.25;BUY;1;-60;-61.6
202604033096;MNQ;/MNQM26:XCME;2026-04-07 16:46:26;24225.25;2026-04-07 17:13:53;24204.25;BUY;1;-42;-43.6
202604033096;MNQ;/MNQM26:XCME;2026-04-07 17:53:44;24248;2026-04-07 17:57:12;24229.5;BUY;1;-37;-38.6
202604033096;MNQ;/MNQM26:XCME;2026-04-07 18:59:04;24096.5;2026-04-07 19:06:19;24087.75;BUY;1;-17.5;-19.1
202604033096;MNQ;/MNQM26:XCME;2026-04-07 19:10:34;24117.75;2026-04-07 19:21:12;24229.5;BUY;1;223.5;221.9
202604033096;MNQ;/MNQM26:XCME;2026-04-07 19:44:22;24232;2026-04-07 19:45:58;24320.5;BUY;1;177;175.4
202604033096;MNQ;/MNQM26:XCME;2026-04-07 19:41:06;24219.25;2026-04-07 19:56:23;24350;BUY;1;261.5;259.9
202604033096;MES;/MESM26:XCME;2026-04-08 17:39:51;6818.5;2026-04-08 17:41:15;6820.5;SELL;-1;-10;-11.6
202604033096;MES;/MESM26:XCME;2026-04-08 17:38:00;6816;2026-04-08 17:41:15;6820.5;SELL;-1;-22.5;-24.1
202604033096;MES;/MESM26:XCME;2026-04-08 17:37:47;6813.5;2026-04-08 17:41:15;6820.5;SELL;-1;-35;-36.6
202604033096;MES;/MESM26:XCME;2026-04-08 17:51:32;6821.25;2026-04-08 17:58:18;6823.25;SELL;-1;-10;-11.6
202604033096;MES;/MESM26:XCME;2026-04-08 17:51:31;6820.75;2026-04-08 17:58:18;6823.25;SELL;-1;-12.5;-14.1
202604033096;MES;/MESM26:XCME;2026-04-08 18:05:27;6828.25;2026-04-08 18:06:35;6827;BUY;1;-6.25;-7.85
202604033096;MNQ;/MNQM26:XCME;2026-04-08 18:23:02;25065;2026-04-08 18:31:18;25071;SELL;-1;-12;-13.6
202604033096;MNQ;/MNQM26:XCME;2026-04-08 18:39:07;25049.75;2026-04-08 19:01:14;24961;SELL;-1;177.5;175.9
202604033096;MNQ;/MNQM26:XCME;2026-04-08 19:23:49;24968.75;2026-04-08 19:31:02;24986.25;SELL;-1;-35;-36.6
202604033096;MNQ;/MNQM26:XCME;2026-04-08 19:40:25;24998.75;2026-04-08 19:43:58;25007;SELL;-1;-16.5;-18.1
202604033096;MNQ;/MNQM26:XCME;2026-04-08 19:46:19;25031.5;2026-04-08 19:46:59;25027.5;BUY;1;-8;-9.6
202604033096;MNQ;/MNQM26:XCME;2026-04-08 19:52:50;25032.75;2026-04-08 19:53:47;25047;SELL;-1;-28.5;-30.1
202604033096;MNQ;/MNQM26:XCME;2026-04-10 16:50:58;25255.75;2026-04-10 16:51:12;25256;SELL;-2;-1;-4.2
202604033096;MNQ;/MNQM26:XCME;2026-04-10 16:51:32;25250.75;2026-04-10 17:12:58;25246;SELL;-2;19;15.8
202604033096;MNQ;/MNQM26:XCME;2026-04-10 17:30:01;25229.5;2026-04-10 17:50:25;25260.75;SELL;-1;-62.5;-64.1
202604033096;MNQ;/MNQM26:XCME;2026-04-10 17:23:30;25238;2026-04-10 17:50:25;25260.75;SELL;-1;-45.5;-47.1
202604033096;MNQ;/MNQM26:XCME;2026-04-10 18:11:13;25257.25;2026-04-10 18:15:22;25263.75;SELL;-1;-13;-14.6
202604033096;MNQ;/MNQM26:XCME;2026-04-10 18:08:21;25243.75;2026-04-10 18:15:22;25263.75;SELL;-1;-40;-41.6
202604033096;MES;/MESM26:XCME;2026-04-10 18:38:15;6854.75;2026-04-10 19:02:18;6857.75;SELL;-1;-15;-16.6
202604033096;MES;/MESM26:XCME;2026-04-13 17:57:18;6882.75;2026-04-13 18:25:25;6884.75;BUY;1;10;8.4
202604033096;MES;/MESM26:XCME;2026-04-13 18:35:53;6887.75;2026-04-13 18:56:07;6895.25;BUY;1;37.5;35.9
202604033096;MES;/MESM26:XCME;2026-04-13 18:34:01;6886.75;2026-04-13 19:05:24;6894.25;BUY;1;37.5;35.9
202604033096;MNQ;/MNQM26:XCME;2026-04-14 17:11:51;25921.5;2026-04-14 17:16:13;25930.75;SELL;-1;-18.5;-20.1
202604033096;MNQ;/MNQM26:XCME;2026-04-14 17:10:13;25919.5;2026-04-14 17:16:13;25930.75;SELL;-1;-22.5;-24.1
202604033096;MNQ;/MNQM26:XCME;2026-04-14 17:32:39;25954;2026-04-14 17:38:02;25959.25;SELL;-1;-10.5;-12.1
202604033096;MNQ;/MNQM26:XCME;2026-04-14 17:31:07;25946.75;2026-04-14 17:38:02;25959.25;SELL;-1;-25;-26.6
202604033096;MES;/MESM26:XCME;2026-04-16 15:29:28;7073.5;2026-04-16 15:36:55;7079;SELL;-1;-27.5;-29.1
202604033096;MES;/MESM26:XCME;2026-04-16 15:22:41;7078.5;2026-04-16 15:36:55;7079;SELL;-1;-2.5;-4.1
202604033096;MES;/MESM26:XCME;2026-04-16 15:51:30;7077.5;2026-04-16 16:21:31;7084.5;BUY;2;70;66.8
202604033096;MES;/MESM26:XCME;2026-04-16 17:11:25;7067.75;2026-04-16 17:14:20;7062.5;BUY;1;-26.25;-27.85
202604033096;MNQ;/MNQM26:XCME;2026-04-16 17:25:55;26488.25;2026-04-16 17:27:34;26472;BUY;1;-32.5;-34.1
202604033096;MNQ;/MNQM26:XCME;2026-04-16 17:32:00;26489;2026-04-16 17:37:51;26464;BUY;1;-50;-51.6
202604033096;MNQ;/MNQM26:XCME;2026-04-16 17:40:30;26489.25;2026-04-16 17:55:13;26469.75;BUY;1;-39;-40.6
202604033096;MNQ;/MNQM26:XCME;2026-04-16 17:40:15;26485.25;2026-04-16 17:55:13;26469.75;BUY;1;-31;-32.6
202604033096;MNQ;/MNQM26:XCME;2026-04-16 17:39:05;26478.5;2026-04-16 17:55:13;26469.75;BUY;1;-17.5;-19.1
202604033096;MNQ;/MNQM26:XCME;2026-04-16 18:03:37;26448;2026-04-16 18:07:41;26432;SELL;-1;32;30.4
202604033096;MNQ;/MNQM26:XCME;2026-04-16 18:03:37;26448;2026-04-16 18:07:41;26432;SELL;-1;32;30.4
202604033096;MNQ;/MNQM26:XCME;2026-04-16 18:03:36;26451.25;2026-04-16 18:07:41;26432;SELL;-1;38.5;36.9
202604033096;MNQ;/MNQM26:XCME;2026-04-16 18:07:55;26421.75;2026-04-16 18:09:52;26403.5;SELL;-1;36.5;34.9
202604033096;MNQ;/MNQM26:XCME;2026-04-16 18:22:25;26396.5;2026-04-16 18:28:39;26361.5;SELL;-1;70;68.4
202604033096;MNQ;/MNQM26:XCME;2026-04-16 18:20:11;26401.75;2026-04-16 18:31:39;26401.25;SELL;-1;1;-0.6000000000000001
202604033096;MNQ;/MNQM26:XCME;2026-04-16 18:55:35;26423.25;2026-04-16 18:59:52;26436.5;SELL;-1;-26.5;-28.1
202604033096;MNQ;/MNQM26:XCME;2026-04-16 18:50:08;26430;2026-04-16 18:59:52;26436.5;SELL;-1;-13;-14.6
202604033096;MNQ;/MNQM26:XCME;2026-04-16 19:00:14;26446.5;2026-04-16 19:06:56;26448.75;BUY;1;4.5;2.9
202604033096;MNQ;/MNQM26:XCME;2026-04-16 19:16:37;26450;2026-04-16 19:30:37;26450;SELL;-1;-0;-1.6
202604033096;MNQ;/MNQM26:XCME;2026-04-16 19:31:44;26455.5;2026-04-16 19:45:10;26461.25;BUY;1;11.5;9.9
202604033096;MNQ;/MNQM26:XCME;2026-04-16 19:31:41;26454.75;2026-04-16 19:45:10;26461.25;BUY;1;13;11.4
202604033096;MNQ;/MNQM26:XCME;2026-04-16 19:31:28;26453;2026-04-16 19:45:10;26461.25;BUY;1;16.5;14.9
202604033096;MNQ;/MNQM26:XCME;2026-04-16 19:45:28;26472.75;2026-04-16 19:50:13;26473.5;BUY;1;1.5;-0.10000000000000009
202604033096;MES;/MESM26:XCME;2026-04-17 15:18:49;7165.5;2026-04-17 15:19:35;7160.75;SELL;-1;23.75;22.15
202604033096;MES;/MESM26:XCME;2026-04-17 15:18:30;7166.25;2026-04-17 15:23:26;7167.25;SELL;-1;-5;-6.6
202604033096;MES;/MESM26:XCME;2026-04-17 15:17:43;7168;2026-04-17 15:23:26;7167.25;SELL;-1;3.75;2.15
202604033096;MES;/MESM26:XCME;2026-04-17 15:16:33;7167;2026-04-17 15:23:26;7167.25;SELL;-1;-1.25;-2.85
202604033096;ES;/ESM26:XCME;2026-04-17 15:26:38;7166.75;2026-04-17 15:29:00;7166.75;BUY;1;0;-5
202604033096;ES;/ESM26:XCME;2026-04-17 15:43:40;7167.25;2026-04-17 15:44:05;7167.25;SELL;-1;-0;-5
202604033096;ES;/ESM26:XCME;2026-04-17 15:47:10;7166.5;2026-04-17 15:48:19;7168.25;SELL;-1;-87.5;-92.5
202604033096;ES;/ESM26:XCME;2026-04-17 15:51:14;7174.5;2026-04-17 15:52:39;7172.5;BUY;1;-100;-105
202604033096;MES;/MESM26:XCME;2026-04-17 15:59:18;7169.75;2026-04-17 16:01:18;7170;SELL;-1;-1.25;-2.85
202604033096;MES;/MESM26:XCME;2026-04-17 15:58:30;7171.5;2026-04-17 16:01:18;7170;SELL;-1;7.5;5.9
202604033096;MES;/MESM26:XCME;2026-04-17 16:08:18;7177.25;2026-04-17 16:09:35;7174;BUY;1;-16.25;-17.85
202604033096;MES;/MESM26:XCME;2026-04-17 16:08:16;7176.75;2026-04-17 16:09:35;7174;BUY;1;-13.75;-15.35
202604033096;MES;/MESM26:XCME;2026-04-17 16:07:30;7175.25;2026-04-17 16:09:35;7174;BUY;1;-6.25;-7.85
202604033096;MNQ;/MNQM26:XCME;2026-04-17 16:11:51;26853.25;2026-04-17 16:16:43;26839;BUY;1;-28.5;-30.1
202604033096;MNQ;/MNQM26:XCME;2026-04-17 16:11:19;26849;2026-04-17 16:16:43;26839;BUY;1;-20;-21.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 16:19:56;26835.75;2026-04-17 16:22:35;26844.25;SELL;-1;-17;-18.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 16:27:46;26851.75;2026-04-17 16:32:00;26874.5;BUY;1;45.5;43.9
202604033096;MNQ;/MNQM26:XCME;2026-04-17 16:24:03;26845.75;2026-04-17 16:32:01;26874.5;BUY;1;57.5;55.9
202604033096;MNQ;/MNQM26:XCME;2026-04-17 16:23:57;26847.5;2026-04-17 16:37:59;26874;BUY;1;53;51.4
202604033096;MNQ;/MNQM26:XCME;2026-04-17 16:23:50;26845.5;2026-04-17 16:37:59;26874;BUY;1;57;55.4
202604033096;MNQ;/MNQM26:XCME;2026-04-17 17:18:29;26823.5;2026-04-17 17:20:44;26805.5;SELL;-1;36;34.4
202604033096;MNQ;/MNQM26:XCME;2026-04-17 17:18:09;26829;2026-04-17 17:21:15;26789.75;SELL;-1;78.5;76.9
202604033096;MNQ;/MNQM26:XCME;2026-04-17 17:24:20;26790.5;2026-04-17 17:24:29;26778.5;BUY;1;-24;-25.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 17:30:11;26788;2026-04-17 17:37:02;26775.75;SELL;-1;24.5;22.9
202604033096;MNQ;/MNQM26:XCME;2026-04-17 17:30:05;26782;2026-04-17 17:37:02;26775.75;SELL;-1;12.5;10.9
202604033096;MNQ;/MNQM26:XCME;2026-04-17 17:56:47;26826.5;2026-04-17 17:58:30;26814;BUY;1;-25;-26.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 17:59:06;26808;2026-04-17 18:01:41;26818.5;SELL;-1;-21;-22.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:10:16;26783.25;2026-04-17 18:18:02;26789.75;SELL;-1;-13;-14.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:03:33;26800.5;2026-04-17 18:18:02;26789.75;SELL;-1;21.5;19.9
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:19:58;26777.5;2026-04-17 18:23:43;26781.25;SELL;-1;-7.5;-9.1
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:32:01;26798.75;2026-04-17 18:33:44;26808.25;SELL;-1;-19;-20.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:29:10;26779.75;2026-04-17 18:33:44;26808.25;SELL;-1;-57;-58.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:36:08;26809.5;2026-04-17 18:39:45;26800.5;BUY;1;-18;-19.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:40:35;26811;2026-04-17 18:41:20;26802;BUY;1;-18;-19.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:42:27;26795.75;2026-04-17 18:49:38;26805.25;SELL;-1;-19;-20.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:42:21;26795.75;2026-04-17 18:49:38;26805.25;SELL;-1;-19;-20.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:42:13;26799.75;2026-04-17 18:49:38;26805.25;SELL;-1;-11;-12.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:52:27;26778;2026-04-17 18:53:39;26784;SELL;-1;-12;-13.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:52:09;26788.25;2026-04-17 18:53:39;26784;SELL;-1;8.5;6.9
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:56:01;26795.5;2026-04-17 18:56:18;26797.5;SELL;-1;-4;-5.6
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:55:58;26791.25;2026-04-17 18:56:18;26797.5;SELL;-1;-12.5;-14.1
202604033096;MNQ;/MNQM26:XCME;2026-04-17 18:55:31;26788.25;2026-04-17 18:56:18;26797.5;SELL;-1;-18.5;-20.1
202604033096;MNQ;/MNQM26:XCME;2026-04-17 19:28:54;26777;2026-04-17 19:31:09;26793.5;SELL;-5;-165;-173
202604033096;MNQ;/MNQM26:XCME;2026-04-17 19:53:31;26806.75;2026-04-17 19:56:22;26829.5;BUY;3;136.5;131.7
202604033096;MNQ;/MNQM26:XCME;2026-04-17 19:53:31;26806.75;2026-04-17 19:59:40;26819.25;BUY;2;50;46.8
202604033096;ES;/ESM26:XCME;2026-04-20 03:09:08;7121.75;2026-04-20 03:20:57;7122.5;SELL;-1;-37.5;-42.5
202604033096;ES;/ESM26:XCME;2026-04-20 03:39:01;7121.75;2026-04-20 03:40:16;7121.5;BUY;1;-12.5;-17.5
202604033096;ES;/ESM26:XCME;2026-04-20 14:23:11;7154.5;2026-04-20 14:27:40;7153.5;BUY;1;-50;-55
202604033096;ES;/ESM26:XCME;2026-04-20 14:41:36;7141.25;2026-04-20 14:49:12;7145.25;SELL;-1;-200;-205
202604033096;ES;/ESM26:XCME;2026-04-20 14:54:48;7135.75;2026-04-20 15:08:33;7125;SELL;-1;537.5;532.5
202604033096;MNQ;/MNQM26:XCME;2026-04-20 15:41:05;26682;2026-04-20 15:44:06;26650.25;SELL;-2;127;123.8
202604033096;MNQ;/MNQM26:XCME;2026-04-20 15:35:51;26665;2026-04-20 15:47:39;26669;SELL;-1;-8;-9.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 15:35:42;26666.75;2026-04-20 15:47:39;26669;SELL;-1;-4.5;-6.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 15:35:34;26657.75;2026-04-20 15:47:39;26669;SELL;-1;-22.5;-24.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 15:49:15;26665.5;2026-04-20 15:52:02;26646.75;SELL;-2;75;71.8
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:00:50;26661;2026-04-20 16:01:24;26648;BUY;2;-52;-55.2
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:00:35;26662;2026-04-20 16:01:24;26648;BUY;2;-56;-59.2
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:05:18;26651.75;2026-04-20 16:06:08;26666.25;SELL;-1;-29;-30.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:04:08;26644.75;2026-04-20 16:06:08;26666.25;SELL;-1;-43;-44.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:06:17;26662.5;2026-04-20 16:13:20;26675.75;BUY;1;26.5;24.9
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:06:09;26666.5;2026-04-20 16:13:20;26675.75;BUY;1;18.5;16.9
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:16:08;26665.25;2026-04-20 16:19:46;26675.75;SELL;-1;-21;-22.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:15:52;26670;2026-04-20 16:19:46;26675.75;SELL;-1;-11.5;-13.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:22:12;26675.5;2026-04-20 16:25:57;26670.75;BUY;1;-9.5;-11.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:19:50;26680.5;2026-04-20 16:25:57;26670.75;BUY;1;-19.5;-21.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:19:48;26677.5;2026-04-20 16:25:57;26670.75;BUY;1;-13.5;-15.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:33:27;26686.75;2026-04-20 16:35:39;26681.5;BUY;1;-10.5;-12.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:30:09;26681.5;2026-04-20 16:35:39;26681.5;BUY;1;0;-1.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:30:08;26680.75;2026-04-20 16:35:39;26681.5;BUY;1;1.5;-0.10000000000000009
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:38:46;26675.75;2026-04-20 16:41:02;26679.5;SELL;-1;-7.5;-9.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:38:21;26674.5;2026-04-20 16:41:02;26679.5;SELL;-1;-10;-11.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:37:55;26671.5;2026-04-20 16:41:02;26679.5;SELL;-1;-16;-17.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:42:07;26692.75;2026-04-20 16:51:08;26677;BUY;1;-31.5;-33.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 16:51:14;26677.25;2026-04-20 16:52:57;26686;SELL;-1;-17.5;-19.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:01:30;26675.25;2026-04-20 17:02:13;26667.25;BUY;1;-16;-17.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:00:56;26684.25;2026-04-20 17:02:13;26667.25;BUY;1;-34;-35.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:02:20;26666;2026-04-20 17:02:55;26675.25;SELL;-1;-18.5;-20.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:02:20;26665.25;2026-04-20 17:02:55;26675.25;SELL;-1;-20;-21.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:02:20;26665.25;2026-04-20 17:02:55;26675.25;SELL;-1;-20;-21.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:02:20;26665.25;2026-04-20 17:02:55;26675.25;SELL;-1;-20;-21.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:02:20;26665;2026-04-20 17:02:55;26675.25;SELL;-1;-20.5;-22.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:02:19;26664.5;2026-04-20 17:02:55;26675.25;SELL;-1;-21.5;-23.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:04:26;26682.25;2026-04-20 17:05:13;26669.5;BUY;1;-25.5;-27.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:03:03;26682.25;2026-04-20 17:05:13;26669.5;BUY;1;-25.5;-27.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:05:17;26669.25;2026-04-20 17:08:19;26688.25;SELL;-1;-38;-39.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:05:17;26669.25;2026-04-20 17:08:19;26688.25;SELL;-1;-38;-39.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:05:17;26669.25;2026-04-20 17:08:23;26689.25;SELL;-1;-40;-41.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:05:15;26669.5;2026-04-20 17:08:23;26689.25;SELL;-1;-39.5;-41.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:05:15;26669.5;2026-04-20 17:08:29;26688;SELL;-1;-37;-38.6
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:05:15;26669.25;2026-04-20 17:08:29;26688;SELL;-1;-37.5;-39.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:05:14;26669.5;2026-04-20 17:08:47;26689.75;SELL;-1;-40.5;-42.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:17:46;26701.5;2026-04-20 17:19:10;26710;BUY;1;17;15.4
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:17:31;26698.5;2026-04-20 17:19:10;26710;BUY;1;23;21.4
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:09:41;26691.75;2026-04-20 17:19:10;26710;BUY;1;36.5;34.9
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:23:10;26713;2026-04-20 17:29:30;26699.75;BUY;1;-26.5;-28.1
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:09:41;26691.75;2026-04-20 17:29:30;26699.75;BUY;1;16;14.4
202604033096;MNQ;/MNQM26:XCME;2026-04-20 17:08:51;26690.75;2026-04-20 17:29:30;26699.75;BUY;2;36;32.8
